50	FC1952_1	BL			@Blue			0	Color
51	FC1952_1	LP			@Pink			0	Color
52	FC1952_1	LV			@Lavender			0	Color
53	FC1952_2	S			@Small			0	Size
54	FC1952_2	M			@Medium			0	Size
55	FC1952_2	L			@Large			0	Size
56	FC1952_2	XL			@X-Large			0	Size
57	GA2512	250			@+2.5 Magnification			1	GlassMag
58	GA2512	300			@+3.0 Magnification			0	GlassMag
59	GA2512	350			@+3.5 Magnification			0	GlassMag
60	GA2512	400			@+4.0 Magnification			0	GlassMag
61	GA2512	450			@+4.5 Magnification			0	GlassMag
62	GA2512	500			@+5.0 Magnification			0	GlassMag
63	GA2512	600			@+6.0 Magnification			0	GlassMag
64	GA2522	250			@+2.5 Magnification			0	GlassMag
65	GA2522	300			@+3.0 Magnification			0	GlassMag
66	GA2522	350			@+3.5 Magnification			0	GlassMag
67	GA2522	400			@+4.0 Magnification			0	GlassMag
68	GA2522	450			@+4.5 Magnification			0	GlassMag
69	GA2522	500			@+5.0 Magnification			0	GlassMag
70	GA2522	600			@+6.0 Magnification			0	GlassMag
71	FA8422_1	AQ			@Aqua			0	Color
72	FA8422_1	BK			@Black			0	Color
73	FA8422_1	RD			@Red			0	Color
74	FA8422_2	S			@Small			0	Size
75	FA8422_2	M			@Medium			0	Size
76	FA8422_2	L			@Large			0	Size
77	FB4102	M			@Medium			0	Size
78	FB4102	L			@Large			0	Size
79	FB7192	M			@Medium			0	Size
80	FB7192	L			@Large			0	Size
81	FB7362	SM			@Small - Medium			0	Size
82	FB7362	LX			@Large - X-Large			0	Size
83	FB7372	SM			@Small - Medium			0	Size
84	FB7372	LX			@Large - X-Large			0	Size
85	GA2432_1	50			@Size 5			0	Size
86	GA2432_1	55			@Size 5&frac12;			0	Size
87	GA2432_1	60			@Size 6			0	Size
88	GA2432_1	65			@Size 6&frac12;			0	Size
89	GA2432_1	70			@Size 7			0	Size
90	GA2432_1	75			@Size 7&frac12;			0	Size
91	GA2432_1	80			@Size 8			0	Size
92	GA2432_1	85			@Size 8&frac12;			0	Size
93	GA2432_1	90			@Size 9			0	Size
94	GA2432_1	95			@Size 9&frac12;			0	Size
95	GA2432_1	100			@Size 10			0	Size
96	GA2432_1	105			@Size 10&frac12;			0	Size
97	GA2432_1	110			@Size 11			0	Size
98	GA2432_1	115			@Size 11&frac12;			0	Size
99	GA2432_1	120			@Size 12			0	Size
100	GA2432_2	M			@Medium Width			0	Width
101	GA2432_2	W			@Wide Width			0	Width
102	GA2432_2	WW			@Wide Wide Width			0	Width
103	GA2392_1	50			@Size 5			0	Size
104	GA2392_1	55			@Size 5&frac12;			0	Size
105	GA2392_1	60			@Size 6			0	Size
106	GA2392_1	65			@Size 6&frac12;			0	Size
107	GA2392_1	70			@Size 7			0	Size
108	GA2392_1	75			@Size 7&frac12;			0	Size
109	GA2392_1	80			@Size 8			0	Size
110	GA2392_1	85			@Size 8&frac12;			0	Size
111	GA2392_1	90			@Size 9			0	Size
112	GA2392_1	95			@Size 9&frac12;			0	Size
113	GA2392_1	100			@Size 10			0	Size
114	GA2392_1	105			@Size 10&frac12;			0	Size
115	GA2392_1	110			@Size 11			0	Size
116	GA2392_1	115			@Size 11&frac12;			0	Size
117	GA2392_1	120			@Size 12			0	Size
118	GA2392_2	N			@Narrow Width			0	Width
119	GA2392_2	M			@Medium Width			0	Width
120	GA2392_2	W			@Wide Width			0	Width
121	GA2392_2	WW			@Wide Wide Width			0	Width
122	GA2412_1	50			@Size 5			0	Size
123	GA2412_1	55			@Size 5&frac12;			0	Size
124	GA2412_1	60			@Size 6			0	Size
125	GA2412_1	65			@Size 6&frac12;			0	Size
126	GA2412_1	70			@Size 7			0	Size
127	GA2412_1	75			@Size 7&frac12;			0	Size
128	GA2412_1	80			@Size 8			0	Size
129	GA2412_1	85			@Size 8&frac12;			0	Size
130	GA2412_1	90			@Size 9			0	Size
131	GA2412_1	95			@Size 9&frac12;			0	Size
132	GA2412_1	100			@Size 10			0	Size
133	GA2412_1	105			@Size 10&frac12;			0	Size
134	GA2412_1	110			@Size 11			0	Size
135	GA2412_1	115			@Size 11&frac12;			0	Size
136	GA2412_1	120			@Size 12			0	Size
137	GA2412_2	N			@Narrow Width			0	Width
138	GA2412_2	M			@Medium Width			0	Width
139	GA2412_2	W			@Wide Width			0	Width
140	GA2412_2	WW			@Wide Wide Width			0	Width
141	GA2472_1	70			@Size 7			0	Size
142	GA2472_1	75			@Size 7&frac12;			0	Size
143	GA2472_1	80			@Size 8			0	Size
144	GA2472_1	85			@Size 8&frac12;			0	Size
145	GA2472_1	90			@Size 9			0	Size
146	GA2472_1	95			@Size 9&frac12;			0	Size
147	GA2472_1	100			@Size 10			0	Size
148	GA2472_1	105			@Size 10&frac12;			0	Size
149	GA2472_1	110			@Size 11			0	Size
150	GA2472_1	115			@Size 11&frac12;			0	Size
151	GA2472_1	120			@Size 12			0	Size
152	GA2472_1	125			@Size 12&frac12;			0	Size
153	GA2472_1	130			@Size 13			0	Size
154	GA2472_1	140			@Size 14			0	Size
155	GA2472_2	M			@Medium Width			0	Width
156	GA2472_2	W			@Wide Width			0	Width
157	GA2472_2	4E			@4E (EEEE) Width			0	Width
158	GA2482_1	70			@Size 7			0	Size
159	GA2482_1	75			@Size 7&frac12;			0	Size
160	GA2482_1	80			@Size 8			0	Size
161	GA2482_1	85			@Size 8&frac12;			0	Size
162	GA2482_1	90			@Size 9			0	Size
163	GA2482_1	95			@Size 9&frac12;			0	Size
164	GA2482_1	100			@Size 10			0	Size
165	GA2482_1	105			@Size 10&frac12;			0	Size
166	GA2482_1	110			@Size 11			0	Size
167	GA2482_1	115			@Size 11&frac12;			0	Size
