Product ID	sku	category	product name	image	price	size	color	description
3730	7070	Home Decor	Indoor Air Conditioner Cover	http://www.stacksandstacks-static.com/images/product/2_1_7070.jpg	11.99	"Small - 12 -14""H x 18 -21""W x 2""D"	Beige	"The Small Indoor Air Conditioner Cover will help reduce your heat bills! When your air conditioner is idle in cold weather, it can rob your home of heat. The solution - seal your air conditioner to prevent heat loss, as well as keep out dirt. Double insulation has 2 layers; a windblock foam liner and removable quilted machine washable poly/cotton cover. Easily installed with a snugly fitting elastic binding These covers are meant to only cover the front panel of your air conditioner - therefore they are 2"" deep."
3731	7071	Home Decor	Indoor Air Conditioner Cover	http://www.stacksandstacks-static.com/images/product/2_1_7070.jpg	12.99	"Medium - 15 -17""H x 22 -25""W x 2""D"	Beige	"The Medium Indoor Air Conditioner Cover will help reduce your heat bills! When your air conditioner is idle in cold weather, it can rob your home of heat. The solution - seal your air conditioner to prevent heat loss, as well as keep out dirt. Double insulation has 2 layers; a windblock foam liner and removable quilted machine washable poly/cotton cover. Easily installed with a snugly fitting elastic binding These covers are meant to only cover the front panel of your air conditioner - therefore they are 2"" deep."
3732	7072	Home Decor	Indoor Air Conditioner Cover	http://www.stacksandstacks-static.com/images/product/2_1_7070.jpg	15.25	"Large - 18 - 20""H x 26 -28""W x 2""D"	Beige	"The Large Indoor Air Conditioner Cover will help reduce your heat bills! When your air conditioner is idle in cold weather, it can rob your home of heat. The solution - seal your air conditioner to prevent heat loss, as well as keep out dirt. Double insulation has 2 layers; a windblock foam liner and removable quilted machine washable poly/cotton cover. Easily installed with a snugly fitting elastic binding These covers are meant to only cover the front panel of your air conditioner - therefore they are 2"" deep."
266	73009	Travel	Travel Jewelry Clutch - Velvet Lined	http://www.stacksandstacks-static.com/images/product/reg-73009.jpg	38.99	"8"" x 5"" x 1"""	Black	"A perfect way to keep your jewels save and sound, this Black leather zippered clutch with velvet interior is a delight to behold. Features an  earring bar, a ring bar, two chain bracelet attachments, and three full-sized zipper pockets. Holds and protects all the jewelry you'll need for your trip!  Order today and you'll be covered!"
1839	73019	Bedroom	Jewelry Cleaner - Sonic Jewelry Bath	http://www.stacksandstacks-static.com/images/product/reg-1221864466-73019.jpg	11.99	"4 1/2""H x 4 1/4""W"	White	"An easy way to keep your jewels sparkling!  The Sonic Jewelry Bath combines state-of-the-art electro-sonic technology with elegant design, making this professional-quality jewelry cleaning machine more attractive, compact and easier to use than other jewelry cleaners on the market. The result is a jewelry cleaning appliance that complements any bathroom vanity or bedroom dresser top. Features a crystal clear tank with carousel and suspension hooks for hands-free cleaning. Powered by 4 AAA batteries (not included), this jewelry cleaning system is also easier to store and transport than any other sonic cleaner. An instant ""beauty treatment"" for your rings, necklaces, earrings, bracelets and brooches!  Measures just 4 1/2""H x 4 1/4""W. For use with gold, silver, gold and silver plate, and most precious and semi-precious stone jewelry."
1140	73032	Garage	Back Seat Organizer	http://www.stacksandstacks-static.com/images/product/reg-1219868926-73032.jpg	11.59	"21 1/2""H x 15 1/8""W x 3 3/4""D"	Black	"Adjustable auto organizer keeps your car clutter-free!  This handy back seat organizer offers storage solutions for all the stuff floating around in your automobile. Multiple pockets give you a place for everything: CD player pocket with slip pockets that hold 3 CDs; large mesh pocket perfect for maps or magazines; two small mesh pockets and a catch-all pocket provide easy access to toys, tissues, snacks, etc.  Also features a secure drink holder and a convenient umbrella holder.  This well-designed backseat organizer uses an adjustable buckle system to easily attach to most car seat backs. Dimensions: 21.57""H x 3.74""W x15.15""L."
270	73056	Garage	Front Seat Caddy	http://www.stacksandstacks-static.com/images/product/reg-1219869320-73056.jpg	8.99	"13-1/2""L x 3-3/4""W x 6-3/4""H"	Black	This front seat caddy with insulated cup holder is large enough for most beverage containers.  Side mesh pockets allow for easy access to cell phone or other frequently used items.  Roomy zippered pocket for storing maps and important papers.  Slip pockets and elastic loops perfect for storing tire gauge and pens.  Hook and cord lock mounting system allows bag to be easily attached around the bottom of the passenger's seat - front or back.
271	73057	Garage	Folding Cargo Bag-For Car Trunks-Collapsible	http://www.stacksandstacks-static.com/images/product/reg-1219869431-73057.jpg	21.99	"23-1/2""L x 13-3/4""W x 12-1/2""H"	Black	"An easy way to keep bags of groceries upright and organized!  No more spilled shopping bags - your car trunk or vehicle floor will stay tidy with this helpful auto organizer.   The folding cargo bag eliminates clutter and prevents items from rolling around in the back of your automobile. Oversized top zips closed for additional security.  Three outer mesh pockets allow easy access to maps, tissues, etc.  Attaches to most carpeted floors with velcro attachment strips.  When not in use, this collapsible car trunk organizer easily folds away for storage under your car seat or in a side cargo pocket. Perfect car organization at a great price!"
1346	73061	Pet	Pet Door Screen Small	http://www.stacksandstacks-static.com/images/product/1_73060.jpg	14.99	"10""H x 8""W opening"	Black	"Lockable screen doors for dogs and cats! Why be at Fido's or Fluffy's mercy whenever they want to go outside or come back in? Simply snap the plastic frames of this easy-to-install small flap door together through the existing screen of your patio door, cut out the screen door, and your dog or cat can easily enter or exit anytime...unless you choose to lock the pet door. This convenient ""cat flap"" or ""doggie door"" works with all types of screens, and also can be installed in screened windows between the kitchen and patio as a food and drink pass-through. Make your dog or cat happy with this pet screen door."
7731	73087	Garage	Door Protector - Stick On Guard	http://www.stacksandstacks-static.com/images/product/reg-1220653606-73087.jpg	12.95	"25"" L x 7"" W x .75"" D"	Clear	"Prevent your vehicle from damage by careless drivers with this stick-on door guard.  Simply apply the suction door protector to your car's passenger or driver side when you park.  Leave your vehicle and rest assured that your auto will be dent, nick, and chip-free when you return!  The car door guard is nearly invisible, and won't clash with any auto color due to its transparency.  The soft auto door protector smoothly suctions without damaging paint and protects against the hardest blows!  Remove the auto door guard when you return, and stash it under your seat or in the trunk for future use!"
